timestamp,zone_id,node_id,tilt_x_deg,tilt_y_deg,displacement_mm,strain_ue,vibration_amp,risk_level
2026-03-01 08:00:00,Zone A,NODE_A1,0.0274,-0.0148,0.667,125.41,0.0025,Normal
2026-03-01 08:00:00,Zone A,NODE_B1,0.0298,0.0454,0.563,102.12,0.0036,Normal
2026-03-01 08:00:00,Zone B,NODE_C1,1.3605,0.7173,6.695,273.13,0.199,Warning
2026-03-01 08:00:01,Zone A,NODE_A1,0.021,-0.0418,0.296,124.38,0.0033,Normal
2026-03-01 08:00:01,Zone A,NODE_B1,0.0121,0.0996,0.709,111.83,0.0034,Normal
2026-03-01 08:00:01,Zone B,NODE_C1,1.1711,0.9799,9.275,271.95,0.4282,Warning
2026-03-01 08:00:02,Zone A,NODE_A1,0.0095,-0.047,0.698,76.02,0.0056,Normal
2026-03-01 08:00:02,Zone A,NODE_B1,0.1,0.0518,0.683,123.23,0.0459,Normal
2026-03-01 08:00:02,Zone B,NODE_C1,1.2711,1.0398,7.139,268.4,0.2431,Warning
2026-03-01 08:00:03,Zone A,NODE_A1,0.047,0.002,0.233,103.83,0.002,Normal
2026-03-01 08:00:03,Zone A,NODE_B1,0.0065,0.0304,0.783,123.41,0.002,Normal
2026-03-01 08:00:03,Zone B,NODE_C1,1.4887,0.9322,9.243,299.94,0.358,Warning
2026-03-01 08:00:04,Zone A,NODE_A1,-0.0068,-0.0165,0.351,76.47,0.0196,Normal
2026-03-01 08:00:04,Zone A,NODE_B1,0.0492,0.0204,0.494,108.86,0.0225,Normal
2026-03-01 08:00:04,Zone B,NODE_C1,1.3903,1.4076,9.736,336.94,0.1,Warning
2026-03-01 08:00:05,Zone A,NODE_A1,0.0388,-0.007,0.496,99.65,0.0357,Normal
2026-03-01 08:00:05,Zone A,NODE_B1,-0.0496,-0.0087,0.426,98.16,0.002,Normal
2026-03-01 08:00:05,Zone B,NODE_C1,1.4859,0.9383,8.897,317.46,0.3063,Warning
2026-03-01 08:00:06,Zone A,NODE_A1,-0.0085,0.008,0.567,115.44,0.0247,Normal
2026-03-01 08:00:06,Zone A,NODE_B1,0.0092,0.0336,0.612,104.48,0.01,Normal
2026-03-01 08:00:06,Zone B,NODE_C1,1.374,1.1522,9.809,282.96,0.1668,Warning
2026-03-01 08:00:07,Zone A,NODE_A1,-0.0047,-0.022,0.406,95.1,0.011,Normal
2026-03-01 08:00:07,Zone A,NODE_B1,0.0341,-0.023,0.861,109.72,0.0064,Normal
2026-03-01 08:00:07,Zone B,NODE_C1,0.8816,1.112,14.234,284.23,0.3041,Warning
2026-03-01 08:00:08,Zone A,NODE_A1,0.0088,-0.0509,0.756,111.53,0.0041,Normal
2026-03-01 08:00:08,Zone A,NODE_B1,-0.0081,0.0584,0.861,130.88,0.0138,Normal
2026-03-01 08:00:08,Zone B,NODE_C1,1.0524,0.9867,9.979,274.9,0.1559,Warning
2026-03-01 08:00:09,Zone A,NODE_A1,0.0124,-0.0472,0.635,81.45,0.0414,Normal
2026-03-01 08:00:09,Zone A,NODE_B1,0.0742,-0.0036,0.517,104.65,0.0194,Normal
2026-03-01 08:00:09,Zone B,NODE_C1,1.439,1.1455,12.153,241.78,0.2948,Warning
2026-03-01 08:00:10,Zone A,NODE_A1,0.0191,0.0174,0.327,74.23,0.0194,Normal
2026-03-01 08:00:10,Zone A,NODE_B1,0.0416,0.0526,0.684,122.71,0.002,Normal
2026-03-01 08:00:10,Zone B,NODE_C1,1.3733,0.9571,13.158,304.21,0.1847,Warning
2026-03-01 08:00:11,Zone A,NODE_A1,0.033,-0.0441,0.692,118.85,0.0157,Normal
2026-03-01 08:00:11,Zone A,NODE_B1,-0.0087,0.0249,0.791,96.99,0.0083,Normal
2026-03-01 08:00:11,Zone B,NODE_C1,1.3365,0.9221,8.332,287.69,0.3073,Warning
2026-03-01 08:00:12,Zone A,NODE_A1,0.0197,0.019,0.552,124.16,0.0129,Normal
2026-03-01 08:00:12,Zone A,NODE_B1,-0.0292,0.0088,0.506,124.66,0.002,Normal
2026-03-01 08:00:12,Zone B,NODE_C1,1.0323,1.1965,9.398,311.42,0.3179,Warning
2026-03-01 08:00:13,Zone A,NODE_A1,0.0075,-0.0396,0.277,89.96,0.0028,Normal
2026-03-01 08:00:13,Zone A,NODE_B1,0.05,0.0349,0.664,119.45,0.002,Normal
2026-03-01 08:00:13,Zone B,NODE_C1,1.7407,1.1116,7.743,300.73,0.3249,Warning
2026-03-01 08:00:14,Zone A,NODE_A1,0.0479,0.0269,0.302,81.12,0.0249,Normal
2026-03-01 08:00:14,Zone A,NODE_B1,0.0307,0.019,0.654,123.08,0.0125,Normal
2026-03-01 08:00:14,Zone B,NODE_C1,1.4427,1.3271,11.517,309.54,0.2548,Warning
2026-03-01 08:00:15,Zone A,NODE_A1,0.0366,-0.037,0.507,89.26,0.0094,Normal
2026-03-01 08:00:15,Zone A,NODE_B1,0.0229,-0.0526,0.704,103.78,0.002,Normal
2026-03-01 08:00:15,Zone B,NODE_C1,1.32,1.0056,11.76,291.93,0.1938,Warning
2026-03-01 08:00:16,Zone A,NODE_A1,-0.015,0.0138,0.419,101.9,0.002,Normal
2026-03-01 08:00:16,Zone A,NODE_B1,0.1,0.0745,0.855,122.43,0.067,Normal
2026-03-01 08:00:16,Zone B,NODE_C1,0.7937,1.1373,8.609,315.57,0.2166,Warning
2026-03-01 08:00:17,Zone A,NODE_A1,0.006,0.0077,0.706,76.39,0.0026,Normal
2026-03-01 08:00:17,Zone A,NODE_B1,0.0083,0.0211,0.408,124.18,0.0059,Normal
2026-03-01 08:00:17,Zone B,NODE_C1,1.6166,1.5244,11.658,244.42,0.2413,Warning
2026-03-01 08:00:18,Zone A,NODE_A1,0.0543,-0.0348,0.63,111.94,0.0096,Normal
2026-03-01 08:00:18,Zone A,NODE_B1,0.0193,-0.0226,0.456,108.42,0.0102,Normal
